year,country,country_code,capital,regulateur,population,total_subscribers,penetration_rate_pct,coverage_4g_pct,mobile_money_penetration_pct,total_revenue_musd,gdp_per_capita_usd,num_operators
2022,Senegal,SN,Dakar,ARTP,17200000,1926400,11.2,52.0,61.0,93.1,1620.0,3
2023,Senegal,SN,Dakar,ARTP,17681600,2298608,13.0,59.0,66.0,115.5,1704.0,3
2024,Senegal,SN,Dakar,ARTP,18176684,2762855,15.2,67.0,72.0,146.8,1793.0,3
2025,Senegal,SN,Dakar,ARTP,18685631,3195242,17.1,73.0,76.0,177.5,1886.0,3
2026,Senegal,SN,Dakar,ARTP,19208829,3572842,18.6,78.0,79.0,203.7,1984.0,3
2022,Cote dIvoire,CI,Abidjan,ARTCI,27500000,3795000,13.8,61.0,72.0,222.9,2360.0,3
2023,Cote dIvoire,CI,Abidjan,ARTCI,28160000,4280320,15.2,67.0,76.0,263.9,2518.0,3
2024,Cote dIvoire,CI,Abidjan,ARTCI,28835840,4844421,16.8,74.0,80.0,318.6,2687.0,3
2025,Cote dIvoire,CI,Abidjan,ARTCI,29527900,5344549,18.1,79.0,83.0,370.4,2867.0,3
2026,Cote dIvoire,CI,Abidjan,ARTCI,30236569,5805421,19.2,83.0,85.0,415.9,3059.0,3
2022,Mali,ML,Bamako,AMRTP,22800000,1915200,8.4,31.0,45.0,78.2,870.0,3
2023,Mali,ML,Bamako,AMRTP,23484000,2489304,10.6,41.0,52.0,103.7,897.0,3
2024,Mali,ML,Bamako,AMRTP,24188520,3168696,13.1,53.0,60.0,135.9,925.0,3
2025,Mali,ML,Bamako,AMRTP,24914175,3762040,15.1,62.0,66.0,165.2,953.0,3
2026,Mali,ML,Bamako,AMRTP,25661600,4336810,16.9,69.0,71.0,194.0,983.0,3
