year,month,date,country,country_code,operator,operator_rank,market_share_pct,total_subscribers,new_subscribers,churned_subscribers,net_adds,churn_rate_pct,arpu_usd,revenue_musd,data_usage_gb,coverage_4g_pct,mobile_money_penetration_pct,population,penetration_rate_pct
2022,1,2022-01-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15278,25720,-10442,2.412,4.74,5.022,1.78,52.0,61.0,17200000,11.2
2022,1,2022-01-01,Senegal,SN,Free Sénégal,2,36.0,693504,10517,26493,-15976,3.791,3.07,2.127,1.85,52.0,61.0,17200000,11.2
2022,1,2022-01-01,Senegal,SN,Expresso,3,9.0,173375,2475,7784,-5309,4.479,2.44,0.423,1.64,52.0,61.0,17200000,11.2
2022,2,2022-02-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15101,25364,-10263,2.387,4.64,4.916,1.95,52.0,61.0,17200000,11.2
2022,2,2022-02-01,Senegal,SN,Free Sénégal,2,36.0,693504,10125,26757,-16632,3.856,3.07,2.128,2.04,52.0,61.0,17200000,11.2
2022,2,2022-02-01,Senegal,SN,Expresso,3,9.0,173375,2460,7839,-5379,4.505,2.53,0.438,2.07,52.0,61.0,17200000,11.2
2022,3,2022-03-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,16775,25272,-8497,2.386,4.72,5.005,2.5,52.0,61.0,17200000,11.2
2022,3,2022-03-01,Senegal,SN,Free Sénégal,2,36.0,693504,10467,25521,-15054,3.754,3.14,2.175,2.42,52.0,61.0,17200000,11.2
2022,3,2022-03-01,Senegal,SN,Expresso,3,9.0,173375,2613,7850,-5237,4.533,2.59,0.449,2.22,52.0,61.0,17200000,11.2
2022,4,2022-04-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15986,25512,-9526,2.383,4.92,5.214,2.46,52.0,61.0,17200000,11.2
2022,4,2022-04-01,Senegal,SN,Free Sénégal,2,36.0,693504,10488,26259,-15771,3.812,3.29,2.284,2.84,52.0,61.0,17200000,11.2
2022,4,2022-04-01,Senegal,SN,Expresso,3,9.0,173375,2585,7850,-5265,4.542,2.67,0.462,2.83,52.0,61.0,17200000,11.2
2022,5,2022-05-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,16351,25026,-8675,2.388,4.88,5.167,3.12,52.0,61.0,17200000,11.2
2022,5,2022-05-01,Senegal,SN,Free Sénégal,2,36.0,693504,10739,26978,-16239,3.852,3.33,2.309,2.9,52.0,61.0,17200000,11.2
2022,5,2022-05-01,Senegal,SN,Expresso,3,9.0,173375,2814,7827,-5013,4.516,2.75,0.477,2.61,52.0,61.0,17200000,11.2
2022,6,2022-06-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,16571,25560,-8989,2.42,5.0,5.296,2.97,52.0,61.0,17200000,11.2
2022,6,2022-06-01,Senegal,SN,Free Sénégal,2,36.0,693504,10934,26683,-15749,3.792,3.3,2.29,3.17,52.0,61.0,17200000,11.2
2022,6,2022-06-01,Senegal,SN,Expresso,3,9.0,173375,2778,7788,-5010,4.477,2.68,0.465,3.38,52.0,61.0,17200000,11.2
2022,7,2022-07-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,16921,25274,-8353,2.402,4.94,5.236,3.53,52.0,61.0,17200000,11.2
2022,7,2022-07-01,Senegal,SN,Free Sénégal,2,36.0,693504,10858,26035,-15177,3.744,3.31,2.296,3.56,52.0,61.0,17200000,11.2
2022,7,2022-07-01,Senegal,SN,Expresso,3,9.0,173375,2656,7665,-5009,4.436,2.66,0.461,3.57,52.0,61.0,17200000,11.2
2022,8,2022-08-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,17127,25575,-8448,2.41,4.91,5.207,3.89,52.0,61.0,17200000,11.2
2022,8,2022-08-01,Senegal,SN,Free Sénégal,2,36.0,693504,10602,25863,-15261,3.727,3.38,2.347,3.86,52.0,61.0,17200000,11.2
2022,8,2022-08-01,Senegal,SN,Expresso,3,9.0,173375,2649,7733,-5084,4.514,2.7,0.468,4.05,52.0,61.0,17200000,11.2
2022,9,2022-09-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15459,25989,-10530,2.419,4.7,4.979,4.32,52.0,61.0,17200000,11.2
2022,9,2022-09-01,Senegal,SN,Free Sénégal,2,36.0,693504,10093,26777,-16684,3.883,3.2,2.223,4.09,52.0,61.0,17200000,11.2
2022,9,2022-09-01,Senegal,SN,Expresso,3,9.0,173375,2605,7599,-4994,4.43,2.62,0.454,4.01,52.0,61.0,17200000,11.2
2022,10,2022-10-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15208,25739,-10531,2.437,4.76,5.045,4.22,52.0,61.0,17200000,11.2
2022,10,2022-10-01,Senegal,SN,Free Sénégal,2,36.0,693504,10594,25988,-15394,3.809,3.14,2.181,4.56,52.0,61.0,17200000,11.2
2022,10,2022-10-01,Senegal,SN,Expresso,3,9.0,173375,2454,7759,-5305,4.535,2.57,0.445,4.57,52.0,61.0,17200000,11.2
2022,11,2022-11-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15501,25318,-9817,2.406,4.65,4.927,4.87,52.0,61.0,17200000,11.2
2022,11,2022-11-01,Senegal,SN,Free Sénégal,2,36.0,693504,10604,26288,-15684,3.773,3.03,2.104,4.96,52.0,61.0,17200000,11.2
2022,11,2022-11-01,Senegal,SN,Expresso,3,9.0,173375,2569,7815,-5246,4.456,2.48,0.43,5.03,52.0,61.0,17200000,11.2
2022,12,2022-12-01,Senegal,SN,Orange Sénégal,1,55.0,1059520,15633,26017,-10384,2.41,4.59,4.864,4.91,52.0,61.0,17200000,11.2
2022,12,2022-12-01,Senegal,SN,Free Sénégal,2,36.0,693504,9742,26098,-16356,3.766,3.09,2.141,5.17,52.0,61.0,17200000,11.2
2022,12,2022-12-01,Senegal,SN,Expresso,3,9.0,173375,2497,7980,-5483,4.537,2.49,0.431,5.79,52.0,61.0,17200000,11.2
2023,1,2023-01-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,17997,29564,-11567,2.343,4.85,6.192,2.18,59.0,66.0,17681600,13.0
2023,1,2023-01-01,Senegal,SN,Free Sénégal,2,35.7,820603,12051,30441,-18390,3.712,3.17,2.603,2.03,59.0,66.0,17681600,13.0
2023,1,2023-01-01,Senegal,SN,Expresso,3,8.8,202277,3004,8808,-5804,4.346,2.56,0.518,2.22,59.0,66.0,17681600,13.0
2023,2,2023-02-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,18255,29859,-11604,2.337,4.9,6.247,2.36,59.0,66.0,17681600,13.0
2023,2,2023-02-01,Senegal,SN,Free Sénégal,2,35.7,820603,12265,30684,-18419,3.699,3.31,2.719,2.33,59.0,66.0,17681600,13.0
