year,country,country_code,region,latitude,longitude,coverage_4g_pct,coverage_2g_pct
2022,Senegal,SN,Dakar,14.7167,-17.4677,95.0,99.0
2023,Senegal,SN,Dakar,14.7167,-17.4677,99.0,100.0
2024,Senegal,SN,Dakar,14.7167,-17.4677,99.0,100.0
2025,Senegal,SN,Dakar,14.7167,-17.4677,99.0,100.0
2026,Senegal,SN,Dakar,14.7167,-17.4677,98.5,100.0
2022,Senegal,SN,Thiès,14.7833,-16.9167,78.0,95.0
2023,Senegal,SN,Thiès,14.7833,-16.9167,82.9,96.0
2024,Senegal,SN,Thiès,14.7833,-16.9167,83.6,97.0
2025,Senegal,SN,Thiès,14.7833,-16.9167,82.2,98.0
2026,Senegal,SN,Thiès,14.7833,-16.9167,81.5,99.0
2022,Senegal,SN,Saint-Louis,16.0179,-16.4896,65.0,90.0
2023,Senegal,SN,Saint-Louis,16.0179,-16.4896,69.9,91.0
2024,Senegal,SN,Saint-Louis,16.0179,-16.4896,70.6,92.0
2025,Senegal,SN,Saint-Louis,16.0179,-16.4896,69.2,93.0
2026,Senegal,SN,Saint-Louis,16.0179,-16.4896,68.5,94.0
2022,Senegal,SN,Ziguinchor,12.55,-16.2719,52.0,82.0
2023,Senegal,SN,Ziguinchor,12.55,-16.2719,56.9,83.0
2024,Senegal,SN,Ziguinchor,12.55,-16.2719,57.6,84.0
2025,Senegal,SN,Ziguinchor,12.55,-16.2719,56.2,85.0
2026,Senegal,SN,Ziguinchor,12.55,-16.2719,55.5,86.0
2022,Senegal,SN,Kaolack,14.1519,-16.0726,70.0,92.0
2023,Senegal,SN,Kaolack,14.1519,-16.0726,74.9,93.0
2024,Senegal,SN,Kaolack,14.1519,-16.0726,75.6,94.0
2025,Senegal,SN,Kaolack,14.1519,-16.0726,74.2,95.0
2026,Senegal,SN,Kaolack,14.1519,-16.0726,73.5,96.0
2022,Senegal,SN,Tambacounda,13.7709,-13.6674,40.0,75.0
2023,Senegal,SN,Tambacounda,13.7709,-13.6674,44.9,76.0
2024,Senegal,SN,Tambacounda,13.7709,-13.6674,45.6,77.0
2025,Senegal,SN,Tambacounda,13.7709,-13.6674,44.2,78.0
2026,Senegal,SN,Tambacounda,13.7709,-13.6674,43.5,79.0
2022,Senegal,SN,Kolda,12.8978,-14.9417,38.0,72.0
2023,Senegal,SN,Kolda,12.8978,-14.9417,42.9,73.0
2024,Senegal,SN,Kolda,12.8978,-14.9417,43.6,74.0
2025,Senegal,SN,Kolda,12.8978,-14.9417,42.2,75.0
2026,Senegal,SN,Kolda,12.8978,-14.9417,41.5,76.0
2022,Senegal,SN,Matam,15.656,-13.2558,35.0,70.0
2023,Senegal,SN,Matam,15.656,-13.2558,39.9,71.0
2024,Senegal,SN,Matam,15.656,-13.2558,40.6,72.0
2025,Senegal,SN,Matam,15.656,-13.2558,39.2,73.0
2026,Senegal,SN,Matam,15.656,-13.2558,38.5,74.0
2022,Senegal,SN,Kédougou,12.5557,-12.1747,28.0,65.0
2023,Senegal,SN,Kédougou,12.5557,-12.1747,32.9,66.0
2024,Senegal,SN,Kédougou,12.5557,-12.1747,33.6,67.0
2025,Senegal,SN,Kédougou,12.5557,-12.1747,32.2,68.0
2026,Senegal,SN,Kédougou,12.5557,-12.1747,31.5,69.0
2022,Senegal,SN,Louga,15.6194,-16.2228,62.0,88.0
2023,Senegal,SN,Louga,15.6194,-16.2228,66.9,89.0
2024,Senegal,SN,Louga,15.6194,-16.2228,67.6,90.0
2025,Senegal,SN,Louga,15.6194,-16.2228,66.2,91.0
2026,Senegal,SN,Louga,15.6194,-16.2228,65.5,92.0
2022,Senegal,SN,Diourbel,14.655,-16.2314,68.0,91.0
2023,Senegal,SN,Diourbel,14.655,-16.2314,72.9,92.0
2024,Senegal,SN,Diourbel,14.655,-16.2314,73.6,93.0
2025,Senegal,SN,Diourbel,14.655,-16.2314,72.2,94.0
2026,Senegal,SN,Diourbel,14.655,-16.2314,71.5,95.0
2022,Senegal,SN,Fatick,14.3391,-16.4111,60.0,87.0
2023,Senegal,SN,Fatick,14.3391,-16.4111,64.9,88.0
2024,Senegal,SN,Fatick,14.3391,-16.4111,65.6,89.0
2025,Senegal,SN,Fatick,14.3391,-16.4111,64.2,90.0
2026,Senegal,SN,Fatick,14.3391,-16.4111,63.5,91.0
2022,Senegal,SN,Kaffrine,14.1057,-15.5508,55.0,85.0
2023,Senegal,SN,Kaffrine,14.1057,-15.5508,59.9,86.0
2024,Senegal,SN,Kaffrine,14.1057,-15.5508,60.6,87.0
2025,Senegal,SN,Kaffrine,14.1057,-15.5508,59.2,88.0
2026,Senegal,SN,Kaffrine,14.1057,-15.5508,58.5,89.0
2022,Senegal,SN,Sédhiou,12.7038,-15.5565,36.0,73.0
2023,Senegal,SN,Sédhiou,12.7038,-15.5565,40.9,74.0
2024,Senegal,SN,Sédhiou,12.7038,-15.5565,41.6,75.0
2025,Senegal,SN,Sédhiou,12.7038,-15.5565,40.2,76.0
2026,Senegal,SN,Sédhiou,12.7038,-15.5565,39.5,77.0
2022,Cote dIvoire,CI,Abidjan,5.3544,-4.0083,97.0,99.0
2023,Cote dIvoire,CI,Abidjan,5.3544,-4.0083,99.0,100.0
2024,Cote dIvoire,CI,Abidjan,5.3544,-4.0083,99.0,100.0
2025,Cote dIvoire,CI,Abidjan,5.3544,-4.0083,99.0,100.0
2026,Cote dIvoire,CI,Abidjan,5.3544,-4.0083,99.0,100.0
2022,Cote dIvoire,CI,Bouaké,7.6899,-5.0313,82.0,96.0
2023,Cote dIvoire,CI,Bouaké,7.6899,-5.0313,86.2,97.0
2024,Cote dIvoire,CI,Bouaké,7.6899,-5.0313,86.9,98.0
2025,Cote dIvoire,CI,Bouaké,7.6899,-5.0313,85.5,99.0
2026,Cote dIvoire,CI,Bouaké,7.6899,-5.0313,84.8,100.0
2022,Cote dIvoire,CI,Daloa,6.8774,-6.4502,70.0,92.0
2023,Cote dIvoire,CI,Daloa,6.8774,-6.4502,74.2,93.0
2024,Cote dIvoire,CI,Daloa,6.8774,-6.4502,74.9,94.0
2025,Cote dIvoire,CI,Daloa,6.8774,-6.4502,73.5,95.0
2026,Cote dIvoire,CI,Daloa,6.8774,-6.4502,72.8,96.0
2022,Cote dIvoire,CI,Korhogo,9.4578,-5.6292,62.0,88.0
2023,Cote dIvoire,CI,Korhogo,9.4578,-5.6292,66.2,89.0
2024,Cote dIvoire,CI,Korhogo,9.4578,-5.6292,66.9,90.0
2025,Cote dIvoire,CI,Korhogo,9.4578,-5.6292,65.5,91.0
2026,Cote dIvoire,CI,Korhogo,9.4578,-5.6292,64.8,92.0
2022,Cote dIvoire,CI,Yamoussoukro,6.8206,-5.2767,85.0,97.0
2023,Cote dIvoire,CI,Yamoussoukro,6.8206,-5.2767,89.2,98.0
2024,Cote dIvoire,CI,Yamoussoukro,6.8206,-5.2767,89.9,99.0
2025,Cote dIvoire,CI,Yamoussoukro,6.8206,-5.2767,88.5,100.0
2026,Cote dIvoire,CI,Yamoussoukro,6.8206,-5.2767,87.8,100.0
2022,Cote dIvoire,CI,San-Pédro,4.7485,-6.6363,65.0,90.0
2023,Cote dIvoire,CI,San-Pédro,4.7485,-6.6363,69.2,91.0
2024,Cote dIvoire,CI,San-Pédro,4.7485,-6.6363,69.9,92.0
2025,Cote dIvoire,CI,San-Pédro,4.7485,-6.6363,68.5,93.0
2026,Cote dIvoire,CI,San-Pédro,4.7485,-6.6363,67.8,94.0
2022,Cote dIvoire,CI,Man,7.4128,-7.5538,55.0,84.0
2023,Cote dIvoire,CI,Man,7.4128,-7.5538,59.2,85.0
2024,Cote dIvoire,CI,Man,7.4128,-7.5538,59.9,86.0
2025,Cote dIvoire,CI,Man,7.4128,-7.5538,58.5,87.0
2026,Cote dIvoire,CI,Man,7.4128,-7.5538,57.8,88.0
2022,Cote dIvoire,CI,Gagnoa,6.1319,-5.951,68.0,91.0
2023,Cote dIvoire,CI,Gagnoa,6.1319,-5.951,72.2,92.0
2024,Cote dIvoire,CI,Gagnoa,6.1319,-5.951,72.9,93.0
2025,Cote dIvoire,CI,Gagnoa,6.1319,-5.951,71.5,94.0
2026,Cote dIvoire,CI,Gagnoa,6.1319,-5.951,70.8,95.0
